anode,cathode,electrolyte,energy_density,is_high_performance
Silicon-Dominant (Si),NCA,LLZO,310.88713183408635,0
Graphite,Li-Rich NMC 811,LLZO,306.89175539023074,0
Graphite,Li-Rich NMC 811,LLZO,311.68077034374403,0
Lithium-Metal,NCA,Liquid,352.6389518916059,1
Graphite,LFP,Polymer,212.69125219246902,0
Silicon-Dominant (Si),NCA,Liquid,357.31170565073035,1
Lithium-Metal,NCA,LLZO,356.20971467998555,1
Lithium-Metal,NCA,Liquid,385.88126794551306,1
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,342.9977758131533,1
Silicon-Dominant (Si),LFP,Liquid,263.59012976147744,0
Silicon-Dominant (Si),NCA,Liquid,317.5660787870112,0
Graphite,LFP,Polymer,212.4521621875118,0
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,347.98597844963734,1
Lithium-Metal,LFP,Liquid,317.61164182854935,0
Silicon-Dominant (Si),NCA,Liquid,344.2340998475639,1
Silicon-Dominant (Si),LFP,Polymer,250.06831224763386,0
Lithium-Metal,LFP,LLZO,307.1550557909261,0
Lithium-Metal,NCA,LLZO,325.8463095285059,0
Lithium-Metal,LFP,Polymer,348.1907250010671,1
Graphite,Li-Rich NMC 811,Liquid,316.19584800679274,0
Graphite,LFP,LLZO,181.34205146913072,0
Silicon-Dominant (Si),LFP,Liquid,259.6064220330614,0
Lithium-Metal,LFP,LLZO,303.59216192558847,0
Silicon-Dominant (Si),NCA,Polymer,308.2697354463859,0
Silicon-Dominant (Si),NCA,LLZO,319.50665321398145,0
Lithium-Metal,Li-Rich NMC 811,LLZO,396.2069864617725,1
Graphite,Li-Rich NMC 811,Liquid,299.4947678881307,0
Lithium-Metal,LFP,LLZO,290.3550266477868,0
Graphite,Li-Rich NMC 811,LLZO,300.0047060515724,0
Graphite,NCA,Polymer,246.75703095632232,0
Graphite,Li-Rich NMC 811,Liquid,325.6391325345473,0
Graphite,LFP,Polymer,202.2021991267687,0
Lithium-Metal,Li-Rich NMC 811,Polymer,412.1430890800886,1
Lithium-Metal,Li-Rich NMC 811,LLZO,370.3503426257641,1
Lithium-Metal,LFP,LLZO,284.6634693068135,0
Graphite,Li-Rich NMC 811,Liquid,341.1991888553578,1
Silicon-Dominant (Si),LFP,Polymer,243.57074821855258,0
Graphite,NCA,Polymer,280.9946276889222,0
Graphite,LFP,Liquid,197.506188156956,0
Lithium-Metal,LFP,Liquid,300.0553504664104,0
Graphite,LFP,Polymer,195.13961417043444,0
Graphite,LFP,Polymer,219.44120377330182,0
Silicon-Dominant (Si),NCA,LLZO,274.9664091375006,0
Lithium-Metal,NCA,Polymer,362.51054140642003,1
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,330.27006119426693,0
Graphite,LFP,Liquid,224.10064521916402,0
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,345.63790879783943,1
Silicon-Dominant (Si),LFP,LLZO,243.88265370897184,0
